film_id,title,year,person_id,person_name,role,characters
HLN,Ardhangi,1955,p-pullaiah,P. Pullaiah,director,
BETO,Athanu Evaru,1955,mitradas,Mitradas,director,
HCF,Bangaru Papa,1955,b-n-reddi,B.N. Reddi,director,
HLZ,Beedhala Aasthi,1955,d-l-ramachandar,D.L. Ramachandar,director,
HMQ,Cherapakura Chedevu,1955,kovelamudi-bhaskar-rao,Kovelamudi Bhaskar Rao,director,
HNG,Dongaramudu,1955,kadiri-venkata-reddi,Kadiri Venkata Reddi,director,
HOV,Jayasimha,1955,d-yoganand,D. Yoganand,director,
HEU,Kanyadhanam,1955,b-vittalacharya,B. Vittalacharya,director,
HPL,Kanyasulkamu,1955,p-pullaiah,P. Pullaiah,director,
AKXY,Missamma,1955,l-v-prasad,L.V. Prasad,director,
HRP,Pasupu Kumkuma,1955,g-d-joshi,G.D. Joshi,director,
HIO,Rechukka,1955,p-pullaiah,P. Pullaiah,director,
HSP,Rojulu Marayi,1955,tapi-chanakya,Tapi Chanakya,director,
HSY,Santanam,1955,c-v-ranganatha-das,C.V. Ranganatha Das,director,
HSZ,Santosham,1955,c-p-dixit,C.P. Dixit,director,
CIHX,Shri Krishna Tulabharam,1955,kadaru-nagabhushanam,Kadaru Nagabhushanam,director,
BFKM,Sri Jagannatha Mahatyamu,1955,katuri-mohan-rao,Katuri Mohan Rao,director,
HTU,Sri Krishna Thulabharam,1955,c-s-rao,C.S. Rao,director,
HUS,Vadhina,1955,m-v-raman,M.V. Raman,director,
HUT,Vadhina gari Gajulu,1955,s-rajanikanth,S. Rajanikanth,director,
HUZ,Vijaya Gowri,1955,d-yoganand,D. Yoganand,director,
BDOT,Alibaba 40 Dongalu,1956,t-r-sundaram,T.R. Sundaram,director,
BELC,Amarajeevi,1956,tatineni-prakash-rao,Tatineni Prakash Rao,director,
HWD,Balasanyasamma Katha,1956,p-subbarao,P. Subbarao,director,
HWO,Bhakta Markandeya,1956,b-s-ranga,B.S. Ranga,director,
HWQ,Bhale Ramudu,1956,vedantam-raghavaiah,Vedantam Raghavaiah,director,
BJSC,C I D,1956,m-krishnan-nair,M. Krishnan Nair,director,
AKZI,Charanadaasi,1956,tatineni-prakash-rao,Tatineni Prakash Rao,director,
HXA,Chinthamani,1956,p-ramakrishna,P. Ramakrishna,director,
HXC,Chiranjeevulu,1956,vedantam-raghavaiah,Vedantam Raghavaiah,director,
HXU,Edhi Nijam,1956,s-balachandar,S. Balachandar,director,
HYN,Harishchandra,1956,jampana-chandrasekhar-rao,Jampana Chandrasekhar Rao,director,
HYU,Ilavelpu,1956,d-yoganand,D. Yoganand,director,
HZF,Jayam Manadhe,1956,tatineni-prakash-rao,Tatineni Prakash Rao,director,
HZM,Kanakatara,1956,s-rajanikanth,S. Rajanikanth,director,
IAR,Melukolupu,1956,k-s-prakash-rao,K.S. Prakash Rao,director,
IAW,Muddu Bidda,1956,k-b-tilak,K.B. Tilak,director,
IBC,Naga Panchami,1956,kadaru-nagabhushanam,Kadaru Nagabhushanam,director,
IBE,Nagulachavithi,1956,chitrapu-narayana-murthy,Chitrapu Narayana Murthy,director,
