film_id,title,year,decade,genres,director,cast,synopsis,language,country,poster_url,source_url,plot
ARMY,Bhalevadivi Basu,2001,2000s,,P.A. Arun Prasad,,,Telugu,India,/static/posters/ARMY.jpg,https://indiancine.ma/ARMY/info,
BGCE,Bhuchodu,2001,2000s,,,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BGCE/info,
BEDZ,Bhutha Mandiram,2001,2000s,,,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BEDZ/info,
ARNF,Budget Padmanabam,2001,2000s,,S.V. Krishna Reddy,,,Telugu,India,/static/posters/ARNF.jpg,https://indiancine.ma/ARNF/info,
BEQW,Chandu,2001,2000s,,K. Veeru,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BEQW/info,
BJKV,Cheli,2001,2000s,,Gautham Menon,,,Telugu,,/static/posters/BJKV.jpg,https://indiancine.ma/BJKV/info,
ARNM,Cheppalani Undhi,2001,2000s,,Chandra Mahesh,,,Telugu,India,/static/posters/ARNM.jpg,https://indiancine.ma/ARNM/info,
BHRO,Cheppalenu Aagalenu,2001,2000s,,,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BHRO/info,
ARNP,Chinna,2001,2000s,,Dasari Narayana Rao,,,Telugu,India,/static/posters/ARNP.jpg,https://indiancine.ma/ARNP/info,
BHHG,Chinna Chinna Thappulu,2001,2000s,,Jayadevan,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BHHG/info,
ARNQ,Chinnodu,2001,2000s,,,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/ARNQ/info,
BHDD,Chinthamani,2001,2000s,,,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BHDD/info,
ARNR,Chiranjeevulu,2001,2000s,,Radhakrishna,,,Telugu,India,/static/posters/ARNR.jpg,https://indiancine.ma/ARNR/info,
ARNS,ChiruJallu,2001,2000s,,Sriram Balaji,,,Telugu,India,/static/posters/ARNS.jpg,https://indiancine.ma/ARNS/info,
BHZX,Chitrangini,2001,2000s,,Chandra,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BHZX/info,
BJSK,Citizen,2001,2000s,,Saravana Subbaiah,,,Telugu,,/static/posters/BJSK.jpg,https://indiancine.ma/BJSK/info,
BFXX,Commissioner Rudramanaidu,2001,2000s,,Vinayan,,,Telugu,,/static/posters/BFXX.jpg,https://indiancine.ma/BFXX/info,
BJDP,Crime Story,2001,2000s,,G.S. Vijayan,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BJDP/info,
AROB,Daddy,2001,2000s,,Suresh Krishna,,<b>Child Artist:</b> Allu Arjun,Telugu,India,/static/posters/AROB.jpg,https://indiancine.ma/AROB/info,
BFGG,Darling Darling,2001,2000s,,V. Samudra,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BFGG/info,
AROI,Deevinchandi,2001,2000s,,Muthyala Subbaiah,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/AROI/info,
BEWY,Devadasi,2001,2000s,,,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BEWY/info,
ARCH,Devi Putrudu,2001,2000s,,Kodi Ramakrishna,,,Telugu,India,/static/posters/ARCH.jpg,https://indiancine.ma/ARCH/info,
BHFM,Dhoravayasu Chinnadhi,2001,2000s,,,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BHFM/info,
BEYM,Doubles,2001,2000s,,R. Pandyarajan,,,Telugu,,/static/posters/BEYM.jpg,https://indiancine.ma/BEYM/info,
ARPB,Dum Dum Dum,2001,2000s,,N. Azhagam Perumal,,,Telugu,India,/static/posters/ARPB.jpg,https://indiancine.ma/ARPB/info,
ARPD,Eduruleni Manishi,2001,2000s,"Action, Comedy, Drama, Family",Srinivasa Rao Jonnalagadda,,"Surya Murthy lives a very wealthy lifestyle in India along with his parents, his niece, and a younger look-alike brother, Satya. His parents would like him to get married, but he refuses until Satya, who himself is anxious to get married to his girlfriend, selects a bride named Vasundhara. Events prove that Vasundhara is indeed the ideal bride for Surya, and both get married. Shortly after the marriage, a large amount of jewelry is stolen, as well as a servant attempts to burn down the farmland. A thief is apprehended with the stolen jewelry by the local police, which leads to Satya making a confession that he was the one who hired the thief. This breaks down the harmony in the family and a rift is created between the two brothers. Little do the two brothers know that the theft of the jewelry and the arson was caused by Vasundhara - who has a score to settle with Surya, who had humiliated her sister, and had manipulated Satya to accept the blame. Watch how Vasundhara goes about to destroy the prestige and peace of this idealistic family.","Telugu, Hindi",India,/static/posters/ARPD.jpg,https://indiancine.ma/ARPD/info,
BEBE,Evadra Rowdy,2001,2000s,,Sarath,,"<b>Guest Appearance:</b> Posani Krishna Murali, Chava Ramakoti, N.V.S. Chowdary",Telugu,India,/static/posters/BEBE.jpg,https://indiancine.ma/BEBE/info,
ARPP,Family Circus,2001,2000s,,Teja,,,Telugu,India,/static/posters/ARPP.jpg,https://indiancine.ma/ARPP/info,
BHNX,Fans,2001,2000s,,J.K. Bharavi,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BHNX/info,
BDDY,Gandharva Rathri,2001,2000s,,T.V. Sabu,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BDDY/info,
BFED,Grama Devatha,2001,2000s,,Sai Prakash,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BFED/info,
BGAW,Hanthakudu,2001,2000s,,,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BGAW/info,
ARQG,Hanuman Junction,2001,2000s,,M. Raja,,,Telugu,India,/static/posters/ARQG.jpg,https://indiancine.ma/ARQG/info,
BGBH,Hyderabad,2001,2000s,,Ayyappa P. Sharma,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BGBH/info,
COWI,Idem Oorura Babu,2001,2000s,,,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/COWI/info,
ARQL,Idhe Naa Modhati Premalekha,2001,2000s,,G. Nageswara Reddy,,,Telugu,India,/static/posters/ARQL.jpg,https://indiancine.ma/ARQL/info,
BGUW,Idhem Oorura Babu,2001,2000s,,Muthyala Subbaiah,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BGUW/info,
ARQR,Istam,2001,2000s,,"Raj Aditya, Vikram K. Kumar",,"Karthik (Charan) is a happy-go-lucky guy and the only son in a wealthy family. His mother Lakshmi (Poonam Dhillon) and father Chakravarthy (Sarat Babu) take care of him very well. Neha (Sreya) is the daughter of Subbu (Chandra Mohan) and she is motherless. Karthik is the senior of Neha in the college and rags her a lot. Neha rescues Lakshmi at an incident and joins her in hospital. Over a period of time Neha and Lakshmi become thick friends. The family member of Neha likes Karthik. The family of Karthik loves Neha a lot. Lakshmi refuses, when Subbu proposes to the parents of Karthik to marry off Karthik and Neha. If you want to know why she refused to marry this pair off and how these guys work hard to impress upon the parents, you gotta watch this film on the silver screen.",Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/ARQR/info,
ARQS,Itlu Sravani Subramanyam,2001,2000s,,Puri Jagannath,,,Telugu,India,/static/posters/ARQS.jpg,https://indiancine.ma/ARQS/info,
ARQU,Jabili,2001,2000s,,S.V. Krishna Reddy,,,Telugu,India,/static/posters/ARQU.jpg,https://indiancine.ma/ARQU/info,
BHOE,Jackpot,2001,2000s,,Kasinath,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BHOE/info,
BDLH,Jollyga Undham Raa,2001,2000s,,,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BDLH/info,
BGLG,Jungle Rani,2001,2000s,,,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BGLG/info,
BHWD,Jurasic Park 3,2001,2000s,,,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BHWD/info,
ARRK,Kalisi Naduddham,2001,2000s,,Kodi Ramakrishna,,,Telugu,India,/static/placeholder_poster.svg,https://indiancine.ma/ARRK/info,
BJGU,Kama Nagini,2001,2000s,,,,,Telugu,,/static/placeholder_poster.svg,https://indiancine.ma/BJGU/info,
