person_id,person_name,role,film_count,known_for
balaji-shakthivel,Balaji Shakthivel,director,4,"BFIN, BDJB, BEAF, BHLW"
balaraju-m,Balaraju M.,director,1,DAEA
balasekharan,Balasekharan,director,5,"ARVI, ARWX, BIPI, ATCN, BDER"
balkrishna-narayan-rao,Balkrishna Narayan Rao,director,1,DMI
ballem-venu-madhav,Ballem Venu Madhav,director,1,CSTV
ballem-venumadhav,Ballem Venumadhav,director,1,BFQR
balu,Balu,director,1,CVZE
balu-anand,Balu Anand,director,2,"BEZR, BIVC"
balu-mahendra,Balu Mahendra,director,12,"BDSC, BHGV, BIPR, BFQM, WVY"
bandela-eshwar-rao,Bandela Eshwar Rao,director,2,"ACKU, AENM"
bandi-krishna-rao,Bandi Krishna Rao,director,1,BKBQ
bandi-ramesh,Bandi Ramesh,director,1,ASCP
bapu,Bapu,director,37,"MQY, MUY, NHJ, NTJ, NWQ"
barathi-babu,Barathi Babu,director,1,CZQE
bargavan,Bargavan,director,1,BJXD
barry-sonnenfeld,Barry Sonnenfeld,director,1,BHCI
basava-shankar-eeday,Basava Shankar Eeday,director,1,CXUA
basheer-alluri,Basheer Alluri,director,1,DAMK
basu-bhattacharya,Basu Bhattacharya,director,1,BJWA
bejoy-nambiar,Bejoy Nambiar,director,1,BHRY
bellam-ramakrishna-reddy,Bellam Ramakrishna Reddy,director,2,"BENE, BWEM"
benny-chan,Benny Chan,director,1,BJZS
bhalji-pendharkar,Bhalji Pendharkar,director,1,BHRN
bhanu-kiran-challa,Bhanu Kiran Challa,director,4,"BIRD, BDQL, BEHF, CDLQ"
bhanu-prakash,Bhanu Prakash,director,1,CWXO
bhanu-prakash-balusu,Bhanu Prakash Balusu,director,1,BVXX
bhanu-shankar,Bhanu Shankar,director,2,"BFLM, ATOZ"
bhanu-shankar-chowdary,Bhanu Shankar Chowdary,director,1,BFRC
bhanuchandar,Bhanuchandar,director,2,"AJIL, BFEE"
bhanuprakash-balusu,Bhanuprakash Balusu,director,2,"BILD, BGWM"
bhanusree-teja,Bhanusree Teja,director,1,CGAM
bharat-kamma,Bharat Kamma,director,1,CXMG
bharat-parepalli,Bharat Parepalli,director,2,"BOQE, BTIB"
bharath-bala,Bharath Bala,director,1,BGKQ
bharath-parepalli,Bharath Parepalli,director,18,"AGRZ, AIMP, AIRC, AJWQ, BIPV"
bharathan,Bharathan,director,11,"BKCK, BKAO, BIPN, BKBO, BIZJ"
bharathi,Bharathi,director,1,BENS
bharathi-ganesh,Bharathi Ganesh,director,2,"BGLN, BDGK"
bharathi-kannan-p-s,Bharathi Kannan P.S.,director,3,"ARXB, BFBJ, BGLE"
bharathi-mohan,Bharathi Mohan,director,1,BDTZ
bharathi-srinivas,Bharathi Srinivas,director,1,BFBZ
bharathi-vasu,Bharathi-Vasu,director,4,"BHLK, ZCX, BISK, BFDS"
bharathirajaa,Bharathirajaa,director,16,"UKO, UWM, WCJ, BKBK, BEWN"
bhargava,Bhargava,director,4,"XIQ, BGXB, ZDK, BHAU"
bhargavan,Bhargavan,director,2,"BDPT, BIHL"
bhaskar,Bhaskar,director,5,"AJNX, AUKI, AWAI, AXWQ, BBAX"
bhaskar-babu,Bhaskar Babu,director,1,BFCY
bhaskar-bandi,Bhaskar Bandi,director,1,BXKA
bhaskar-raja,Bhaskar Raja,director,1,BFBY
bhaskar-rao-vendrathi,Bhaskar Rao Vendrathi,director,1,BHJZ
bhaskarrao-vedrathi,Bhaskarrao Vedrathi,director,1,BSCT
bhavani-shankar,Bhavani Shankar,director,1,BFVT
bhavani-shankar-kaipa,Bhavani Shankar Kaipa,director,1,CUIP
bheemaneni-srinivasa-rao,Bheemaneni Srinivasa Rao,director,11,"AOWR, AQCA, BFPJ, AQCJ, APRK"
bheeram-mastan-rao,Bheeram Mastan Rao,director,6,"TRB, USG, VZR, XET, ZFR"
bhimavarapu-narasimha-rao,Bhimavarapu Narasimha Rao,director,2,"DCU, IRG"
bhimeswara-rao-munjuluri,Bhimeswara Rao Munjuluri,director,2,"VUK, BEUC"
billa-r-krishnamurthy,Billa R. Krishnamurthy,director,1,BIEE
bipin,Bipin,director,1,BIFE
birsa-dasgupta,Birsa Dasgupta,director,1,CDMH
bl-prasad,Bl Prasad,director,1,DABV
blessy,Blessy,director,1,BGFV
